"ID";"od";"dd";"size";"price";"a6";"a7";"a8";"a9";"tax"
439022;"2013-03-10";"2013-04-04";"XL";59.9;4;"1959-09-25";2;0;11.38
225164;"2012-09-23";"2012-09-26";"m";29.9;4;"1970-04-30";1;0;5.68
409589;"2013-02-28";"2013-03-25";"XXL";21.9;4;"1967-09-02";3;1;4.16
366277;"2013-01-26";"2013-01-30";"l";34.9;4;"1965-08-08";15;1;6.63
398311;"2013-02-21";"2013-02-27";"S";29.9;4;"1979-07-08";5;0;5.68
193645;"2012-09-05";"2012-09-06";"m";99.9;4;"1963-04-03";10;1;18.98
343951;"2013-01-15";"2013-02-04";"L";59.9;4;"1958-12-04";7;0;11.38
2070;"2012-04-04";"2012-04-05";"xl";59.9;4;"1958-05-24";1;1;11.38
408332;"2013-02-27";"?";"XXL";21.9;4;"?";6;0;4.16
3787;"2012-04-04";"2012-04-06";"xxl";NA;4;"1975-12-06";8;0;NA
96938;"2012-06-20";"2012-06-21";"xxl";69.9;4;"1958-04-01";1;0;13.28
439353;"2013-03-10";"2013-03-18";"L";69.9;4;"1971-10-16";8;1;13.28
313651;"2012-12-29";"2013-01-01";"M";19.9;4;"1972-03-16";1;0;3.78
188936;"2012-08-31";"2012-09-04";"l";21.9;4;"1963-08-11";2;1;4.16
219336;"2012-09-19";"1990-12-31";"m";79.9;4;"1956-08-11";16;1;15.18
18236;"2012-04-13";"2012-04-16";"l";59.9;4;"1959-06-24";11;0;11.38
469105;"2013-03-24";"2013-05-17";"M";99.9;4;"?";7;1;18.98
217215;"2012-09-18";"2012-11-22";"xl";149.9;4;"1960-09-16";1;0;28.48
461893;"2013-03-20";"2013-03-22";"xl";39.9;4;"1965-08-17";1;0;7.58
431334;"2013-03-06";"2013-03-08";"L";49.9;4;"?";7;1;9.48
325775;"2013-01-09";"2013-01-14";"M";39.9;4;"1983-06-02";8;0;7.58
467883;"2013-03-24";"2013-03-26";"L";24.9;4;"1960-01-05";10;1;4.73
317069;"2013-01-02";"2013-01-28";"XXL";49.9;4;"1964-05-09";10;1;9.48
164260;"2012-08-11";"2012-10-26";"l";59.9;4;"1961-09-19";10;1;11.38
171075;"2012-08-16";"2012-08-17";"xxl";NA;4;"1957-10-30";10;1;NA
199197;"2012-09-10";"2012-09-13";"m";59.9;4;"1961-05-06";7;1;11.38
386768;"2013-02-12";"2013-02-13";"M";39.9;4;"1954-09-04";1;0;7.58
18973;"2012-04-14";"2012-04-18";"xl";69.9;4;"1963-04-13";11;1;13.28
371044;"2013-01-30";"2013-01-31";"s";21.9;3;"1966-05-15";2;0;4.16
340815;"2013-01-13";"2013-01-16";"M";49.9;4;"1965-08-07";15;0;9.48
79898;"2012-06-03";"2012-06-05";"l";39.9;4;"1968-07-22";5;0;7.58
127935;"2012-07-04";"2012-07-05";"xl";49.9;4;"1960-09-22";8;1;9.48
261806;"2012-10-23";"2012-11-14";"l";39.9;4;"1970-05-16";3;1;7.58
340165;"2013-01-13";"2013-01-18";"XL";19.9;4;"1957-09-16";3;1;3.78
473273;"2013-03-26";"2013-07-11";"L";29.9;4;"1957-05-01";8;0;5.68
376006;"2013-02-03";"2013-02-05";"L";29.9;4;"1969-12-27";12;0;5.68
290651;"2012-11-28";"2012-11-29";"xl";49.9;4;"1960-03-22";10;0;9.48
415278;"2013-03-02";"2013-04-04";"XL";99.9;4;"1972-09-16";10;1;18.98
87802;"2012-06-11";"1990-12-31";"xl";79.9;4;"1941-10-06";2;1;15.18
132597;"2012-07-11";"2012-07-17";"l";39.9;4;"1967-01-30";13;0;7.58
406215;"2013-02-26";"2013-03-01";"L";59.9;4;"1966-11-15";2;1;11.38
347183;"2013-01-16";"2013-01-18";"XL";39.9;4;"1958-06-26";10;0;7.58
115512;"2012-06-29";"?";"xl";29.9;4;"1956-10-23";1;0;5.68
21021;"2012-04-17";"2012-04-18";"xxl";24.9;4;"1957-03-15";7;0;4.73
66825;"2012-05-24";"2012-05-28";"l";89.9;4;"1960-09-28";11;1;17.08
101224;"2012-06-24";"2012-06-26";"xl";39.9;4;"1959-11-29";2;0;7.58
242435;"2012-10-08";"2012-10-12";"xl";59.9;4;"1976-02-01";10;0;11.38
91444;"2012-06-15";"2012-06-19";"xxl";89.9;3;"1956-08-20";10;1;17.08
358322;"2013-01-21";"2013-01-23";"M";89.9;4;"1954-10-05";1;1;17.08
4044;"2012-04-04";"2012-05-28";"s";79.9;4;"1966-04-29";15;0;15.18
186596;"2012-08-29";"2012-11-12";"xl";129.9;4;"1954-10-11";2;0;24.68
261790;"2012-10-23";"2012-11-26";"xxl";129.9;4;"1972-03-10";10;0;24.68
831;"2012-04-03";"2012-04-04";"xxl";59.9;4;"1973-12-25";7;1;11.38
298391;"2012-12-10";"2013-01-04";"M";49.9;4;"1959-11-25";11;1;9.48
74371;"2012-05-30";"2012-06-01";"l";69.9;4;"1960-12-16";10;1;13.28
177520;"2012-08-22";"2012-08-23";"l";39.9;4;"1976-08-08";2;0;7.58
328152;"2013-01-10";"2013-01-14";"XL";26.9;4;"1968-04-07";15;0;5.11
383009;"2013-02-09";"2013-04-09";"XL";59.9;4;"1965-08-06";7;0;11.38
289103;"2012-11-26";"2012-11-27";"XL";59.9;4;"1980-08-07";1;1;11.38
111295;"2012-06-28";"1990-12-31";"l";24.9;4;"1969-12-11";4;1;4.73
43983;"2012-05-05";"2012-05-08";"s";21.9;4;"1967-07-11";7;1;4.16
41839;"2012-05-03";"2012-05-04";"l";21.9;4;"1969-11-01";3;0;4.16
149845;"2012-08-03";"2012-08-06";"l";129.9;4;"1977-11-22";1;1;24.68
336935;"2013-01-12";"2013-01-15";"L";21.9;5;"1961-12-22";10;0;4.16
138;"2012-04-01";"2012-06-14";"xl";89.9;4;"1957-10-17";2;1;17.08
97487;"2012-06-20";"2012-06-26";"l";39.9;4;"?";11;0;7.58
450886;"2013-03-15";"2013-04-04";"XXL";26.9;4;"1963-11-04";7;0;5.11
447595;"2013-03-14";"2013-06-05";"M";59.9;3;"1953-08-13";1;0;11.38
364653;"2013-01-25";"2013-02-04";"XL";119.9;4;"1960-05-25";6;0;22.78
164070;"2012-08-11";"2012-08-13";"s";49.9;4;"1946-09-20";1;1;9.48
262127;"2012-10-23";"2012-10-25";"s";179.9;4;"?";2;0;34.18
368924;"2013-01-28";"2013-01-29";"XL";29.9;4;"1961-11-11";7;0;5.68
317149;"2013-01-02";"1990-12-31";"L";64.9;4;"1960-08-26";10;1;12.33
320012;"2013-01-05";"2013-02-21";"M";29.9;4;"1970-01-16";10;0;5.68
101587;"2012-06-24";"2012-06-26";"xl";9.9;4;"1971-05-11";15;0;1.88
101316;"2012-06-24";"2012-06-26";"l";59.9;4;"1962-12-31";10;1;11.38
194011;"2012-09-05";"2012-09-06";"l";89.9;4;"1964-03-21";7;1;17.08
455173;"2013-03-17";"2013-03-20";"L";29.9;4;"1957-11-14";3;1;5.68
464028;"2013-03-22";"2013-03-25";"L";39.9;4;"1954-02-07";8;0;7.58
367174;"2013-01-27";"2013-02-06";"L";89.9;4;"1963-07-15";10;1;17.08
364307;"2013-01-25";"2013-01-29";"S";19.9;4;"1968-04-14";10;1;3.78
273510;"2012-11-04";"2012-11-06";"XL";89.9;4;"?";1;1;17.08
1191;"2012-04-03";"2012-04-04";"s";49.9;4;"1962-05-11";8;1;9.48
312261;"2012-12-28";"?";"M";189;4;"1967-12-15";10;0;35.91
409828;"2013-02-28";"2013-04-04";"L";NA;4;"1989-10-07";7;0;NA
372172;"2013-01-31";"2013-02-01";"XXL";49.9;4;"1970-05-09";15;0;9.48
228121;"2012-09-25";"?";"l";59.9;4;"?";10;0;11.38
273518;"2012-11-04";"2012-11-07";"M";39.9;4;"1952-03-27";2;1;7.58
274352;"2012-11-05";"2012-11-07";"L";69.9;4;"1971-07-22";11;1;13.28
729;"2012-04-01";"2012-04-12";"m";21.9;4;"1972-11-26";9;0;4.16
175926;"2012-08-21";"2012-09-07";"s";99.9;4;"1968-10-30";11;1;18.98
313743;"2012-12-30";"2013-01-02";"M";19.9;4;"?";10;1;3.78
406495;"2013-02-26";"2013-03-01";"XL";59.9;4;"1975-05-22";10;0;11.38
176461;"2012-08-21";"2012-08-22";"xl";26.9;4;"1958-11-21";8;0;5.11
205668;"2012-09-14";"2012-11-09";"m";49.9;4;"1955-08-07";2;1;9.48
294078;"2012-12-04";"2012-12-05";"L";39.9;4;"1972-10-07";8;0;7.58
302384;"2012-12-15";"2012-12-18";"M";69.9;4;"1978-08-11";15;0;13.28
358383;"2013-01-21";"2013-01-23";"L";89.9;4;"1968-03-09";8;1;17.08
197286;"2012-09-08";"2012-09-11";"l";39.9;4;"1953-08-06";13;0;7.58
444737;"2013-03-12";"2013-04-09";"M";54.9;4;"1970-06-24";4;0;10.43
463972;"2013-03-22";"2013-04-04";"L";24.9;4;"1958-10-25";1;0;4.73
111165;"2012-06-28";"?";"l";29.9;4;"?";15;0;5.68
360636;"2013-01-23";"2013-01-25";"L";39.9;4;"1966-02-06";2;1;7.58
437996;"2013-03-09";"2013-03-12";"M";49.9;4;"1967-01-09";13;1;9.48
309270;"2012-12-24";"2013-01-02";"L";89.9;4;"1965-07-04";15;0;17.08
322216;"2013-01-07";"2013-01-21";"m";34.9;4;"1969-07-21";2;0;6.63
452874;"2013-03-17";"2013-03-20";"M";39.9;4;"?";15;0;7.58
415546;"2013-03-02";"2013-03-05";"XL";19.9;4;"?";8;1;3.78
297436;"2012-12-10";"2012-12-11";"M";26.9;4;"1958-12-26";2;0;5.11
402960;"2013-02-24";"2013-02-27";"L";26.9;4;"?";15;0;5.11
55046;"2012-05-16";"1990-12-31";"xxl";19.9;4;"1964-06-02";8;0;3.78
378091;"2013-02-05";"2013-02-06";"L";34.9;4;"1967-05-16";2;0;6.63
318928;"2013-01-04";"2013-02-14";"XXL";99.9;4;"1963-06-20";10;1;18.98
70283;"2012-05-27";"2012-05-29";"m";24.9;4;"1962-12-31";10;1;4.73
39376;"2012-05-01";"2012-05-02";"l";39.9;4;"1973-03-03";2;1;7.58
234067;"2012-09-29";"2012-11-16";"l";59.9;4;"?";1;0;11.38
384455;"2013-02-10";"2013-02-12";"XXL";79.9;4;"1962-02-04";11;1;15.18
364369;"2013-01-25";"1990-12-31";"s";69.9;4;"1971-06-28";10;1;13.28
401013;"2013-02-23";"2013-04-18";"XL";26.9;4;"1958-06-29";1;0;5.11
79461;"2012-06-03";"2012-06-06";"l";49.9;4;"1965-12-12";8;0;9.48
456106;"2013-03-18";"2013-05-20";"S";89.9;4;"1954-06-02";15;0;17.08
143398;"2012-07-27";"2012-08-02";"xxl";29.9;4;"1955-03-27";10;0;5.68
70527;"2012-05-27";"2012-05-29";"l";49.9;4;"1966-07-03";10;1;9.48
358249;"2013-01-21";"2013-01-23";"M";34.9;4;"1960-05-27";10;1;6.63
159507;"2012-08-08";"2012-08-10";"xl";69.9;4;"1957-01-13";10;1;13.28
384248;"2013-02-10";"2013-02-12";"M";26.9;4;"1963-11-13";10;0;5.11
196994;"2012-09-07";"2012-09-11";"xl";39.9;4;"1966-04-14";8;1;7.58
341209;"2013-01-14";"2013-02-04";"XXL";24.9;4;"1970-11-27";4;1;4.73
382921;"2013-02-09";"2013-04-01";"s";119.9;4;"1966-12-27";7;1;22.78
87020;"2012-06-10";"2012-06-14";"s";69.9;4;"?";10;1;13.28
14182;"2012-04-10";"2012-04-13";"xl";99.9;4;"?";1;1;18.98
64639;"2012-05-22";"2012-05-24";"xl";79.9;4;"1963-11-02";10;0;15.18
341838;"2013-01-14";"2013-04-11";"m";39.9;4;"1973-03-22";1;0;7.58
451590;"2013-03-16";"2013-03-18";"L";16.9;4;"?";12;0;3.21
281328;"2012-11-16";"?";"M";29.9;3;"1953-09-23";8;0;5.68
308416;"2012-12-25";"?";"XL";59.9;4;"1968-09-18";14;0;11.38
91204;"2012-06-15";"2012-06-18";"xxl";49.9;4;"1949-11-19";15;1;9.48
273170;"2012-11-04";"2012-11-26";"XL";139.9;4;"1964-05-08";7;0;26.58
83521;"2012-06-06";"2012-06-13";"m";39.9;4;"1968-12-29";15;0;7.58
227600;"2012-09-24";"2012-09-27";"m";59.9;3;"?";13;0;11.38
155863;"2012-08-06";"2012-08-07";"xxl";69.9;4;"1966-12-19";11;1;13.28
56040;"2012-05-16";"?";"xxl";24.9;4;"1961-03-20";10;0;4.73
86269;"2012-06-09";"2012-06-13";"xxl";89.9;4;"1962-05-24";8;1;17.08
362758;"2013-01-24";"2013-01-28";"XXL";26.9;4;"1968-07-30";4;0;5.11
206333;"2012-09-14";"2012-09-17";"s";49.9;4;"1962-11-16";10;1;9.48
207368;"2012-09-14";"?";"m";99.9;4;"1965-08-08";10;0;18.98
242837;"2012-10-09";"2012-10-16";"xl";39.9;4;"1967-01-29";15;0;7.58
214813;"2012-09-17";"2012-09-20";"xl";79.9;4;"1955-12-28";15;0;15.18
64958;"2012-05-22";"2012-05-24";"s";14.9;4;"1969-10-01";3;1;2.83
404504;"2013-02-25";"2013-04-22";"M";69.9;4;"1900-11-19";3;0;13.28
303658;"2012-12-16";"2012-12-19";"L";49.9;4;"1971-05-26";1;1;9.48
390867;"2013-02-15";"2013-02-28";"XL";34.9;3;"?";10;1;6.63
379909;"2013-02-06";"2013-04-19";"s";59.9;4;"1990-11-15";10;1;11.38
444197;"2013-03-12";"2013-06-05";"L";59.9;4;"1968-03-26";2;1;11.38
420439;"2013-03-03";"2013-03-05";"S";89.9;4;"1952-09-18";10;0;17.08
155823;"2012-08-06";"2012-08-07";"m";69.9;4;"1900-11-19";7;0;13.28
126803;"2012-07-03";"2012-07-05";"xl";69.9;4;"1960-05-23";12;0;13.28
368091;"2013-01-27";"2013-01-30";"M";29.9;4;"1960-07-01";1;1;5.68
370231;"2013-01-29";"2013-03-25";"XXL";49.9;4;"1958-12-21";8;0;9.48
444111;"2013-03-12";"2013-05-01";"XL";59.9;4;"1971-10-20";2;1;11.38
390373;"2013-02-15";"2013-02-19";"XL";NA;4;"1960-02-20";2;1;NA
63647;"2012-05-22";"2012-05-23";"xxl";29.9;4;"1964-02-09";10;1;5.68
140264;"2012-07-22";"2012-07-25";"m";29.9;4;"1963-09-24";10;0;5.68
90174;"2012-06-13";"2012-06-18";"l";39.9;4;"1957-03-26";10;0;7.58
386325;"2013-02-12";"2013-03-27";"S";59.9;4;"1953-04-03";1;1;11.38
61657;"2012-05-20";"2012-05-22";"xl";21.9;4;"1958-03-20";8;1;4.16
61738;"2012-05-20";"2012-05-23";"s";69.9;4;"1973-01-10";10;1;13.28
35391;"2012-04-27";"2012-05-01";"m";69.9;4;"1970-11-21";10;0;13.28
25943;"2012-04-20";"2012-05-30";"xxl";59.9;4;"1984-12-04";9;0;11.38
271201;"2012-11-01";"2012-11-06";"L";49.9;4;"1964-10-11";9;0;9.48
54465;"2012-05-15";"2012-05-17";"l";29.9;4;"1966-05-25";15;1;5.68
368435;"2013-01-28";"2013-01-30";"L";24.9;4;"1977-07-14";1;1;4.73
363407;"2013-01-25";"2013-01-28";"XL";39.9;4;"1966-07-17";2;1;7.58
430037;"2013-03-06";"2013-03-08";"XL";99.9;4;"1972-02-06";10;1;18.98
263098;"2012-10-24";"2012-10-25";"l";59.9;4;"1956-01-17";11;1;11.38
415982;"2013-03-02";"2013-03-05";"XL";79.9;4;"1959-02-16";1;1;15.18
222834;"2012-09-21";"2012-11-16";"xl";59.9;4;"1956-09-12";10;1;11.38
74320;"2012-05-30";"2012-06-04";"l";59.9;4;"1962-12-08";10;0;11.38
222634;"2012-09-21";"2012-10-03";"xl";49.9;4;"1980-05-27";11;0;9.48
466177;"2013-03-23";"2013-03-25";"XXL";24.9;4;"1964-01-18";8;0;4.73
245286;"2012-10-10";"2012-10-17";"s";69.9;4;"1967-04-02";1;1;13.28
122950;"2012-07-01";"2012-07-18";"m";19.9;4;"1955-05-10";11;0;3.78
127042;"2012-07-04";"?";"m";19.9;3;"1949-01-21";8;0;3.78
276694;"2012-11-08";"2012-11-12";"XXL";119.9;4;"1964-06-05";7;1;22.78
329673;"2013-01-10";"2013-01-14";"M";24.9;4;"1961-05-30";7;0;4.73
165723;"2012-08-12";"2012-08-15";"l";99.9;4;"1955-09-25";7;1;18.98
29944;"2012-04-23";"2012-04-27";"m";39.9;4;"1958-09-15";1;1;7.58
227288;"2012-09-24";"2012-09-25";"m";59.9;4;"1970-08-08";10;1;11.38
410455;"2013-02-28";"2013-03-01";"m";89.9;4;"?";8;1;17.08
294591;"2012-12-05";"?";"xl";99.9;4;"1958-11-22";2;0;18.98
174523;"2012-08-19";"2012-08-21";"s";49.9;4;"1951-08-17";11;1;9.48
279664;"2012-11-13";"2012-11-14";"M";79.9;4;"1960-04-23";11;1;15.18
433188;"2013-03-07";"2013-03-11";"M";49.9;4;"1972-08-10";8;0;9.48
248206;"2012-10-14";"2012-10-16";"xl";59.9;4;"1956-04-22";3;1;11.38
79999;"2012-06-04";"2012-06-05";"m";59.9;4;"1962-08-09";7;0;11.38
277332;"2012-11-09";"2012-11-12";"S";59.9;4;"1973-07-24";1;1;11.38
463306;"2013-03-22";"2013-05-22";"XL";59.9;4;"1965-05-04";15;0;11.38
154104;"2012-08-05";"2012-08-07";"m";79.9;4;"1962-08-14";6;1;15.18
402461;"2013-02-24";"2013-02-26";"S";16.9;4;"1965-05-10";8;0;3.21
150652;"2012-08-03";"2012-08-06";"xl";26.9;4;"1954-04-07";6;0;5.11
85994;"2012-06-09";"2012-06-12";"xxl";49.9;4;"1963-12-17";2;1;9.48
23537;"2012-04-18";"2012-04-19";"xxl";24.9;4;"1958-01-22";1;0;4.73
118586;"2012-06-30";"2012-07-27";"l";14.9;4;"1959-11-28";10;1;2.83
173263;"2012-08-18";"2012-08-21";"l";79.9;4;"1957-11-08";8;1;15.18
74790;"2012-05-30";"2012-06-04";"xxl";69.9;4;"1971-04-23";15;1;13.28
149172;"2012-08-02";"2012-08-08";"l";119.9;3;"?";10;1;22.78
8505;"2012-04-07";"?";"m";49.9;4;"1970-12-06";14;0;9.48
479144;"2013-03-30";"2013-04-03";"L";49.9;4;"1959-08-22";7;0;9.48
395169;"2013-02-19";"2013-02-21";"XXL";59.9;4;"?";13;1;11.38
42267;"2012-05-04";"2012-05-07";"xxl";69.9;4;"1959-08-18";10;0;13.28
423616;"2013-03-04";"2013-03-06";"L";59.9;4;"?";4;0;11.38
283613;"2012-11-18";"?";"L";NA;4;"1964-01-11";10;0;NA
211343;"2012-09-15";"2012-09-19";"l";29.9;4;"1956-06-20";8;0;5.68
33182;"2012-04-25";"?";"xxl";21.9;4;"1975-07-18";13;0;4.16
287633;"2012-11-24";"2012-11-27";"L";21.9;4;"1961-07-19";11;1;4.16
34666;"2012-04-27";"2012-05-01";"l";49.9;4;"1975-11-24";4;1;9.48
98742;"2012-06-22";"2012-06-26";"m";39.9;4;"?";4;1;7.58
280791;"2012-11-15";"2012-11-16";"M";119.9;4;"1963-03-18";11;1;22.78
243814;"2012-10-09";"2012-11-30";"xl";119.9;4;"?";10;1;22.78
74990;"2012-05-30";"2012-06-01";"l";79.9;4;"1962-10-04";8;0;15.18
70706;"2012-05-27";"2012-05-29";"l";49.9;4;"1965-12-31";10;0;9.48
253249;"2012-10-17";"2012-12-12";"xxl";49.9;4;"1962-09-10";10;0;9.48
454100;"2013-03-17";"1990-12-31";"XXL";21.9;4;"1963-03-15";10;0;4.16
164580;"2012-08-11";"2012-09-03";"s";149.9;4;"1961-06-10";1;1;28.48
87242;"2012-06-12";"2012-06-13";"xl";119.9;4;"1962-07-21";7;1;22.78
131921;"2012-07-10";"2012-07-16";"xl";21.9;4;"1976-05-28";8;0;4.16
270541;"2012-10-31";"2012-11-02";"XL";49.9;4;"1955-11-30";11;0;9.48
10311;"2012-04-08";"2012-04-14";"m";79.9;4;"1958-02-04";1;0;15.18
392697;"2013-02-17";"2013-02-20";"M";99.9;4;"1965-04-23";9;1;18.98
53604;"2012-05-15";"2012-05-16";"xl";89.9;4;"1968-09-07";10;0;17.08
275483;"2012-11-07";"2012-11-19";"L";99.9;4;"1963-12-14";8;1;18.98
292734;"2012-12-02";"2012-12-17";"S";69.9;4;"1990-04-18";10;1;13.28
316921;"2013-01-02";"2013-01-09";"XXL";29.9;4;"1969-08-16";3;0;5.68
356197;"2013-01-20";"2013-01-22";"L";59.9;4;"1959-05-20";1;1;11.38
59253;"2012-05-19";"2012-05-21";"s";24.9;4;"1956-02-06";7;1;4.73
152731;"2012-08-05";"2012-08-07";"xxl";49.9;4;"1971-10-13";2;1;9.48
456352;"2013-03-18";"2013-05-01";"L";59.9;4;"?";7;1;11.38
253593;"2012-10-17";"2012-11-06";"xxl";59.9;4;"1968-12-10";16;0;11.38
64437;"2012-05-22";"2012-05-23";"xl";16.9;4;"1962-12-28";2;0;3.21
423246;"2013-03-04";"2013-03-05";"M";29.9;4;"?";2;1;5.68
95266;"2012-06-18";"2012-06-20";"xl";34.9;4;"1970-02-10";1;0;6.63
447120;"2013-03-14";"2013-04-09";"m";21.9;4;"1969-05-08";1;0;4.16
430593;"2013-03-06";"2013-03-11";"XL";26.9;4;"1967-02-16";10;0;5.11
64859;"2012-05-22";"?";"xl";39.9;4;"1972-05-15";16;0;7.58
386756;"2013-02-12";"2013-02-13";"S";39.9;4;"1985-01-03";8;1;7.58
228238;"2012-09-25";"2012-09-26";"xl";129.9;4;"1970-07-27";4;1;24.68
64625;"2012-05-22";"2012-05-24";"xxl";99.9;4;"1961-12-27";2;1;18.98
429965;"2013-03-06";"2013-04-04";"L";59.9;4;"?";10;1;11.38
165827;"2012-08-12";"2012-08-14";"l";24.9;4;"1970-07-24";8;1;4.73
156903;"2012-08-07";"2012-08-09";"m";59.9;4;"1966-01-22";1;0;11.38
201914;"2012-09-12";"2012-09-14";"l";24.9;4;"?";10;1;4.73
242046;"2012-10-08";"2012-10-23";"xl";29.9;3;"1966-07-20";9;1;5.68
182100;"2012-08-26";"2012-08-29";"xl";NA;4;"1970-07-15";7;0;NA
234821;"2012-10-01";"2012-10-04";"m";59.9;4;"1956-06-07";2;1;11.38
24311;"2012-04-19";"2012-05-18";"l";69.9;4;"1969-09-27";14;0;13.28
86764;"2012-06-10";"2012-06-13";"l";34.9;4;"1963-12-13";15;1;6.63
472817;"2013-03-26";"2013-04-11";"L";34.9;4;"1975-09-23";7;1;6.63
161436;"2012-08-09";"2012-08-13";"m";79.9;4;"1973-03-10";13;0;15.18
79739;"2012-06-03";"2012-06-06";"m";29.9;4;"?";7;1;5.68
247082;"2012-10-12";"2012-11-15";"l";59.9;3;"1960-02-17";8;1;11.38
9089;"2012-04-08";"2012-04-16";"l";69.9;4;"1953-05-10";2;0;13.28
167250;"2012-08-13";"2012-08-30";"m";99.9;4;"1969-05-25";2;1;18.98
14452;"2012-04-10";"2012-04-12";"xl";79.9;4;"1961-02-11";15;1;15.18
422284;"2013-03-03";"?";"XL";49.9;4;"1960-07-04";7;0;9.48
363457;"2013-01-25";"2013-01-28";"S";21.9;4;"1976-12-09";1;1;4.16
154877;"2012-08-05";"2012-08-07";"l";59.9;4;"1978-02-07";2;1;11.38
192582;"2012-09-04";"2012-09-17";"l";179.9;4;"1966-03-08";10;1;34.18
163614;"2012-08-10";"1990-12-31";"m";69.9;4;"1953-03-30";10;0;13.28
43834;"2012-05-05";"2012-05-09";"l";79.9;4;"?";8;0;15.18
374516;"2013-02-02";"2013-02-05";"M";17.9;4;"1977-03-11";7;1;3.4
308834;"2012-12-24";"?";"L";29.9;4;"1964-04-11";2;0;5.68
69016;"2012-05-26";"?";"xl";59.9;4;"1960-12-04";1;0;11.38
15790;"2012-04-11";"2012-04-12";"xxl";34.9;4;"1970-01-09";8;0;6.63
244753;"2012-10-10";"2012-11-12";"xxl";29.9;4;"1959-06-06";11;0;5.68
223609;"2012-09-22";"2012-10-15";"xl";109.9;4;"1966-01-28";11;0;20.88
29660;"2012-04-23";"2012-04-27";"l";29.9;4;"1973-10-04";1;0;5.68
161072;"2012-08-09";"2012-08-13";"xxl";69.9;4;"1967-02-19";10;1;13.28
427100;"2013-03-05";"2013-03-06";"M";19.9;4;"1965-03-15";12;1;3.78
449473;"2013-03-15";"2013-03-28";"XXL";99.9;4;"1967-08-07";2;1;18.98
195625;"2012-09-06";"2012-09-07";"m";21.9;4;"1963-10-28";10;0;4.16
74700;"2012-05-30";"2012-06-01";"xxl";39.9;4;"?";2;1;7.58
157246;"2012-08-07";"2012-08-08";"xxl";26.9;4;"1968-07-03";7;1;5.11
150559;"2012-08-04";"2012-08-23";"xl";119.9;4;"1961-06-26";10;0;22.78
52313;"2012-05-13";"2012-05-15";"l";39.9;4;"1973-12-16";2;1;7.58
471301;"2013-03-26";"?";"M";59.9;4;"1960-12-05";8;0;11.38
251864;"2012-10-16";"2012-10-19";"l";29.9;3;"1967-02-22";2;0;5.68
45270;"2012-05-07";"2012-05-08";"xl";59.9;4;"1969-05-09";1;0;11.38
98890;"2012-06-22";"2012-06-26";"xxl";34.9;3;"1955-01-11";8;1;6.63
449427;"2013-03-15";"2013-03-19";"XL";34.9;4;"1978-05-09";11;1;6.63
145062;"2012-07-29";"2012-07-31";"xl";19.9;4;"1964-11-06";7;1;3.78
330863;"2013-01-11";"2013-01-21";"M";44.9;4;"1949-11-19";11;1;8.53
436576;"2013-03-09";"2013-06-06";"S";59.9;4;"1972-07-05";2;1;11.38
